temp,wind,humid,snow
-8.5,4,57,6.4
-8.4,4,60,6.4
-8.1,3.4,58,6.4
-8.2,3.8,58,6.4
-8.2,4.4,61,6.4
-8.6,4.8,81,6.9
-8.3,4.4,85,8
-7.9,4.5,84,9.2
-7,3.7,81,9.2
-5.5,2.9,74,9.2
-4.2,2.6,71,9.1
-4.2,1.6,83,9.9
-1.9,1.1,71,9.7
-0.6,4.5,65,9.6
-0.5,3.6,56,9.5
-0.6,3,55,9.4
-1.1,2.3,56,9.4
-1.7,1.9,59,9.4
-1.6,2.3,60,9.4
-2.5,2.9,84,9.7
-2.8,2.4,87,10.3
-2.4,2.4,89,10.5
-2.7,4.4,87,10.8
-4.8,2.2,83,10.9
-6.5,4.5,71,10.9
-7.8,5,53,10.9
-8.8,6.4,31,10.9
-10.1,3.2,34,10.9
-10.8,3,43,10.9
-11.9,4.5,46,10.9
-12.7,2.3,46,10.9
-13,1.2,44,10.9
-12.7,2.6,36,10.9
-11.8,3.2,35,10.9
-11.8,5.6,38,10.8
-10.6,4,34,10.7
-10.7,7.4,33,10.5
-10.1,4.3,35,10.4
-9.5,5.3,36,10.2
-9.8,5,36,10.1
-10.7,5.1,38,10.1
-11.5,2.3,42,10.1
-12,2.5,44,10.1
-12.7,1.8,48,10.1
-13.2,2.5,49,10.1
-13.8,4.2,50,10.1
-14.3,4.6,50,10.1
-15.1,1.9,52,10.1
-15.6,2.8,53,10.1
-15.9,1.8,53,10.1
-16,1.5,50,10.1
-16,2.9,48,10.1
-16.2,2.4,46,10.1
-16.3,1.4,49,10.1
-16.3,2.8,46,10.1
-16.1,2.8,46,10.1
-15.4,2.5,42,10.1
-13.9,3.9,37,10.1
-12.9,3.8,33,10
-11.8,3.2,31,9.9
-11,3.6,32,9.8
-10.3,3.6,33,9.6
-9.7,3.5,32,9.4
-9.8,3.5,35,9.2
-9.9,1.6,38,9.2
-10.7,2.9,42,9.2
-11.3,3.8,42,9.2
-11.9,3.3,44,9.2
-12.5,2.3,46,9.2
-12.9,3.6,47,9.2
-13.2,3,46,9.2
-13.6,1,50,9.2
-13.6,1,46,9.2
-13.8,1.1,47,9.2
-14.1,1.8,49,9.2
-14.2,1.5,50,9.2
-14.3,0.5,55,9.2
-14.5,0.6,56,9.2
-14.7,2,59,9.2
-14.8,2.8,58,9.2
-13.8,2.6,54,9.2
-11.8,1.7,45,9.2
-9.4,0.6,32,9.2
-7.6,1.4,28,9
-6.4,2.6,34,8.6
-6.3,2.5,29,8.3
-6.5,4.1,33,7.9
-6.7,3.1,31,7.6
-7.7,3.6,33,7.5
-8.8,3.3,34,7.5
-9.3,2.2,37,7.5
-9.5,1.7,41,7.5
-9.8,1.3,47,7.5
-10,0.6,49,7.5
-10.5,1.2,55,7.5
-10.5,1.4,53,7.5
-10.9,0.9,53,7.5
-10.9,0.6,54,7.5
-11.4,2.7,62,7.5
-11.9,2.5,62,7.5
-12,3.5,60,7.5
-11.8,2.5,56,7.5
-11.7,2.7,61,7.5
-12.1,2.1,63,7.5
-11,2.7,57,7.5
-8.7,2.1,49,7.5
-6.8,2.3,48,7.5
-5.4,2.1,45,7.5
-3,0.9,43,7.4
-1.3,2.3,46,7.3
-1.8,3.9,53,7.3
-2.3,3,57,7.3
-3,2.9,63,7.3
-3.4,2.4,63,7.3
