일자|시간|구분,공급량
2019-01-01 01 A,1769.7069
2019-01-01 02 A,1670.5864
2019-01-01 03 A,1596.5319
2019-01-01 04 A,1577.5488
2019-01-01 05 A,1672.3392
2019-01-01 06 A,1708.9335
2019-01-01 07 A,1790.6478
2019-01-01 08 A,2027.5054
2019-01-01 09 A,2210.5664
2019-01-01 10 A,2277.5173
2019-01-01 11 A,2229.878
2019-01-01 12 A,2048.978
2019-01-01 13 A,1918.3057
2019-01-01 14 A,1798.4993
2019-01-01 15 A,1713.8809
2019-01-01 16 A,1710.1514
2019-01-01 17 A,1786.3928
2019-01-01 18 A,2054.7913
2019-01-01 19 A,2326.2625
2019-01-01 20 A,2346.0928
2019-01-01 21 A,2267.0955
2019-01-01 22 A,2200.352
2019-01-01 23 A,2092.0957
2019-01-01 24 A,1965.7905
2019-01-02 01 A,1843.6796
2019-01-02 02 A,1620.7937
2019-01-02 03 A,1551.005
2019-01-02 04 A,1603.4114
2019-01-02 05 A,1804.2019
2019-01-02 06 A,1997.6663
2019-01-02 07 A,2375.0913
2019-01-02 08 A,2778.715
2019-01-02 09 A,2969.088
2019-01-02 10 A,2840.2432
2019-01-02 11 A,2730.2297
2019-01-02 12 A,2533.209
2019-01-02 13 A,2372.4966
2019-01-02 14 A,2252.3386
2019-01-02 15 A,2123.7175
2019-01-02 16 A,2059.6746
2019-01-02 17 A,2138.8638
2019-01-02 18 A,2409.0718
2019-01-02 19 A,2688.9612
2019-01-02 20 A,2772.3853
2019-01-02 21 A,2696.2576
2019-01-02 22 A,2601.0444
2019-01-02 23 A,2453.3416
2019-01-02 24 A,2321.424
2019-01-03 01 A,2049.8071
2019-01-03 02 A,1804.9913
2019-01-03 03 A,1702.0587
2019-01-03 04 A,1756.7423
2019-01-03 05 A,1930.7975
2019-01-03 06 A,2132.564
2019-01-03 07 A,2471.89
2019-01-03 08 A,2862.8542
2019-01-03 09 A,3083.7847
2019-01-03 10 A,2935.268
2019-01-03 11 A,2814.6826
2019-01-03 12 A,2600.577
2019-01-03 13 A,2440.4138
2019-01-03 14 A,2324.9902
2019-01-03 15 A,2188.2136
2019-01-03 16 A,2127.3044
2019-01-03 17 A,2214.1655
2019-01-03 18 A,2488.938
2019-01-03 19 A,2796.115
2019-01-03 20 A,2886.068
2019-01-03 21 A,2820.6567
2019-01-03 22 A,2731.6655
2019-01-03 23 A,2582.0352
2019-01-03 24 A,2452.977
2019-01-04 01 A,2193.4595
2019-01-04 02 A,1950.6569
2019-01-04 03 A,1805.0348
2019-01-04 04 A,1840.3014
2019-01-04 05 A,2017.8118
2019-01-04 06 A,2189.0012
2019-01-04 07 A,2516.4297
2019-01-04 08 A,2873.2458
2019-01-04 09 A,3085.949
2019-01-04 10 A,2968.0715
2019-01-04 11 A,2848.8784
2019-01-04 12 A,2640.2896
2019-01-04 13 A,2493.7095
2019-01-04 14 A,2389.5151
2019-01-04 15 A,2257.5728
2019-01-04 16 A,2209.3662
2019-01-04 17 A,2302.6836
2019-01-04 18 A,2556.438
2019-01-04 19 A,2814.3135
2019-01-04 20 A,2897.8555
2019-01-04 21 A,2830.2192
2019-01-04 22 A,2720.6628
2019-01-04 23 A,2551.6743
2019-01-04 24 A,2415.6506
2019-01-05 01 A,2128.1716
2019-01-05 02 A,1906.652
2019-01-05 03 A,1768.9382
2019-01-05 04 A,1809.112
2019-01-05 05 A,1976.9037
2019-01-05 06 A,2168.7766
2019-01-05 07 A,2476.4456
2019-01-05 08 A,2909.9045
2019-01-05 09 A,3065.9878
2019-01-05 10 A,2891.989
2019-01-05 11 A,2747.6587
2019-01-05 12 A,2529.187
2019-01-05 13 A,2362.3457
2019-01-05 14 A,2244.8015
2019-01-05 15 A,2104.0122
2019-01-05 16 A,2064.7422
2019-01-05 17 A,2150.4473
2019-01-05 18 A,2419.8428
2019-01-05 19 A,2681.1326
2019-01-05 20 A,2747.8538
2019-01-05 21 A,2693.3745
2019-01-05 22 A,2589.0908
2019-01-05 23 A,2444.0037
2019-01-05 24 A,2306.8762
2019-01-06 01 A,2145.3015
2019-01-06 02 A,1907.2828
2019-01-06 03 A,1762.887
2019-01-06 04 A,1786.6543
2019-01-06 05 A,1942.4236
2019-01-06 06 A,2045.9469
2019-01-06 07 A,2205.9268
2019-01-06 08 A,2609.538
2019-01-06 09 A,2789.5942
2019-01-06 10 A,2699.352
2019-01-06 11 A,2591.67
2019-01-06 12 A,2373.9207
2019-01-06 13 A,2204.2852
2019-01-06 14 A,2081.671
2019-01-06 15 A,1940.2689
2019-01-06 16 A,1890.9161
2019-01-06 17 A,1966.5306
2019-01-06 18 A,2216.2803
2019-01-06 19 A,2466.9023
2019-01-06 20 A,2520.347
2019-01-06 21 A,2452.758
2019-01-06 22 A,2342.2715
2019-01-06 23 A,2212.2126
2019-01-06 24 A,2094.241
2019-01-07 01 A,2030.9757
2019-01-07 02 A,1782.5537
2019-01-07 03 A,1637.1127
2019-01-07 04 A,1655.391
2019-01-07 05 A,1803.6422
2019-01-07 06 A,1899.5625
2019-01-07 07 A,1999.1672
2019-01-07 08 A,2355.574
2019-01-07 09 A,2558.4114
2019-01-07 10 A,2570.779
2019-01-07 11 A,2478.457
2019-01-07 12 A,2308.0022
2019-01-07 13 A,2184.3357
2019-01-07 14 A,2076.5068
2019-01-07 15 A,1952.1051
2019-01-07 16 A,1900.1063
2019-01-07 17 A,1968.3606
2019-01-07 18 A,2209.3674
2019-01-07 19 A,2437.6174
2019-01-07 20 A,2491.5645
2019-01-07 21 A,2404.833
2019-01-07 22 A,2281.5713
2019-01-07 23 A,2140.635
2019-01-07 24 A,1988.0182
2019-01-08 01 A,1841.642
2019-01-08 02 A,1625.6542
2019-01-08 03 A,1494.9756
2019-01-08 04 A,1550.1937
2019-01-08 05 A,1735.3359
2019-01-08 06 A,1879.2441
2019-01-08 07 A,2168.126
2019-01-08 08 A,2563.3755
2019-01-08 09 A,2749.5876
2019-01-08 10 A,2668.6787
2019-01-08 11 A,2571.9128
2019-01-08 12 A,2405.853
2019-01-08 13 A,2282.3308
2019-01-08 14 A,2185.6653
2019-01-08 15 A,2059.8538
2019-01-08 16 A,2017.6719
2019-01-08 17 A,2094.9705
2019-01-08 18 A,2337.6812
2019-01-08 19 A,2582.134
2019-01-08 20 A,2668.7505
2019-01-08 21 A,2593.1282
2019-01-08 22 A,2485.4934
2019-01-08 23 A,2352.0178
2019-01-08 24 A,2183.732
2019-01-09 01 A,1986.4579
2019-01-09 02 A,1765.3618
2019-01-09 03 A,1631.0793
2019-01-09 04 A,1683.1278
2019-01-09 05 A,1878.9843
2019-01-09 06 A,2108.3242
2019-01-09 07 A,2452.4878
2019-01-09 08 A,2866.5466
2019-01-09 09 A,3034.904
2019-01-09 10 A,2904.5889
2019-01-09 11 A,2792.9458
2019-01-09 12 A,2618.2869
2019-01-09 13 A,2467.8032
2019-01-09 14 A,2358.7068
2019-01-09 15 A,2222.078
2019-01-09 16 A,2175.3896
2019-01-09 17 A,2288.4788
2019-01-09 18 A,2548.9421
2019-01-09 19 A,2813.0679
2019-01-09 20 A,2910.7642
2019-01-09 21 A,2835.9385
2019-01-09 22 A,2735.939
2019-01-09 23 A,2594.953
2019-01-09 24 A,2420.7354
2019-01-10 01 A,2187.1582
2019-01-10 02 A,1942.823
2019-01-10 03 A,1801.4277
2019-01-10 04 A,1851.1871
2019-01-10 05 A,2023.83
2019-01-10 06 A,2232.306
2019-01-10 07 A,2521.1426
2019-01-10 08 A,2870.1182
2019-01-10 09 A,3104.7952
2019-01-10 10 A,2996.2002
2019-01-10 11 A,2897.7915
2019-01-10 12 A,2721.227
2019-01-10 13 A,2581.9734
2019-01-10 14 A,2486.934
2019-01-10 15 A,2382.4185
2019-01-10 16 A,2362.3384
2019-01-10 17 A,2504.51
2019-01-10 18 A,2799.5251
2019-01-10 19 A,3132.3643
2019-01-10 20 A,3244.6484
2019-01-10 21 A,3204.8296
2019-01-10 22 A,3122.9917
2019-01-10 23 A,2995.1826
2019-01-10 24 A,2839.7708
2019-01-11 01 A,2587.3
2019-01-11 02 A,2337.4944
2019-01-11 03 A,2198.346
2019-01-11 04 A,2239.8796
2019-01-11 05 A,2418.793
2019-01-11 06 A,2625.331
2019-01-11 07 A,2945.5505
2019-01-11 08 A,3290.177
2019-01-11 09 A,3496.4375
2019-01-11 10 A,3335.1235
2019-01-11 11 A,3228.8608
2019-01-11 12 A,3024.21
2019-01-11 13 A,2869.3262
2019-01-11 14 A,2771.9507
2019-01-11 15 A,2663.4065
2019-01-11 16 A,2633.5557
2019-01-11 17 A,2754.0251
2019-01-11 18 A,3021.5435
2019-01-11 19 A,3345.733
2019-01-11 20 A,3461.2405
2019-01-11 21 A,3420.029
2019-01-11 22 A,3322.481
2019-01-11 23 A,3190.5361
2019-01-11 24 A,3024.9404
2019-01-12 01 A,2876.1292
2019-01-12 02 A,2602.485
2019-01-12 03 A,2445.0515
2019-01-12 04 A,2463.449
2019-01-12 05 A,2650.3096
2019-01-12 06 A,2851.9668
2019-01-12 07 A,3199.9402
2019-01-12 08 A,3631.2207
2019-01-12 09 A,3719.2754
2019-01-12 10 A,3543.2148
2019-01-12 11 A,3433.9375
2019-01-12 12 A,3217.2852
2019-01-12 13 A,3035.8115
2019-01-12 14 A,2903.8667
2019-01-12 15 A,2752.5593
2019-01-12 16 A,2704.3281
2019-01-12 17 A,2790.761
2019-01-12 18 A,3034.9104
2019-01-12 19 A,3276.984
2019-01-12 20 A,3392.374
2019-01-12 21 A,3322.4082
2019-01-12 22 A,3196.5312
2019-01-12 23 A,3024.9329
2019-01-12 24 A,2842.8992
2019-01-13 01 A,2553.7869
2019-01-13 02 A,2279.462
2019-01-13 03 A,2121.575
2019-01-13 04 A,2143.345
2019-01-13 05 A,2294.1082
2019-01-13 06 A,2409.758
2019-01-13 07 A,2631.32
2019-01-13 08 A,3041.338
2019-01-13 09 A,3151.2808
2019-01-13 10 A,3079.024
2019-01-13 11 A,3014.9382
2019-01-13 12 A,2821.5273
2019-01-13 13 A,2644.9456
2019-01-13 14 A,2504.8176
2019-01-13 15 A,2362.0469
2019-01-13 16 A,2297.904
2019-01-13 17 A,2370.4558
2019-01-13 18 A,2565.283
2019-01-13 19 A,2791.031
2019-01-13 20 A,2871.419
2019-01-13 21 A,2777.0195
2019-01-13 22 A,2682.4946
2019-01-13 23 A,2514.715
2019-01-13 24 A,2359.353
2019-01-14 01 A,2232.0105
2019-01-14 02 A,1961.1819
2019-01-14 03 A,1797.991
2019-01-14 04 A,1815.9592
2019-01-14 05 A,1947.8158
2019-01-14 06 A,2052.5034
2019-01-14 07 A,2197.3105
2019-01-14 08 A,2569.129
2019-01-14 09 A,2769.275
2019-01-14 10 A,2730.5767
2019-01-14 11 A,2669.033
2019-01-14 12 A,2492.9575
2019-01-14 13 A,2315.9744
2019-01-14 14 A,2181.2358
2019-01-14 15 A,2041.5754
2019-01-14 16 A,1991.3231
2019-01-14 17 A,2059.4424
2019-01-14 18 A,2273.9011
2019-01-14 19 A,2504.0347
2019-01-14 20 A,2544.7346
2019-01-14 21 A,2441.2644
2019-01-14 22 A,2334.1965
2019-01-14 23 A,2171.206
2019-01-14 24 A,2015.2252
2019-01-15 01 A,1827.1519
2019-01-15 02 A,1576.0928
2019-01-15 03 A,1473.0293
2019-01-15 04 A,1496.6821
2019-01-15 05 A,1641.5505
2019-01-15 06 A,1789.701
2019-01-15 07 A,2031.283
2019-01-15 08 A,2401.378
2019-01-15 09 A,2606.6506
2019-01-15 10 A,2532.4316
2019-01-15 11 A,2448.8474
2019-01-15 12 A,2282.1526
2019-01-15 13 A,2109.0767
2019-01-15 14 A,1999.1467
2019-01-15 15 A,1866.106
2019-01-15 16 A,1805.374
2019-01-15 17 A,1856.9667
2019-01-15 18 A,2095.6738
2019-01-15 19 A,2356.3477
2019-01-15 20 A,2422.3948
2019-01-15 21 A,2336.3975
2019-01-15 22 A,2237.9175
2019-01-15 23 A,2114.4749
2019-01-15 24 A,1964.782
2019-01-16 01 A,1745.9534
2019-01-16 02 A,1511.7793
2019-01-16 03 A,1413.7565
2019-01-16 04 A,1461.3531
2019-01-16 05 A,1605.6572
2019-01-16 06 A,1780.0042
2019-01-16 07 A,2084.1855
2019-01-16 08 A,2451.37
2019-01-16 09 A,2647.7
2019-01-16 10 A,2514.7607
2019-01-16 11 A,2434.1672
2019-01-16 12 A,2254.752
2019-01-16 13 A,2072.215
2019-01-16 14 A,1963.7256
2019-01-16 15 A,1836.6012
2019-01-16 16 A,1763.5771
2019-01-16 17 A,1810.6488
2019-01-16 18 A,2038.3746
2019-01-16 19 A,2280.8538
2019-01-16 20 A,2356.7957
2019-01-16 21 A,2278.9504
2019-01-16 22 A,2188.858
2019-01-16 23 A,2060.3337
2019-01-16 24 A,1924.047
2019-01-17 01 A,1689.0619
2019-01-17 02 A,1436.119
2019-01-17 03 A,1336.2429
2019-01-17 04 A,1359.3427
2019-01-17 05 A,1503.5344
2019-01-17 06 A,1658.2877
2019-01-17 07 A,1926.183
2019-01-17 08 A,2286.005
2019-01-17 09 A,2490.0288
2019-01-17 10 A,2369.5154
2019-01-17 11 A,2283.9783
2019-01-17 12 A,2092.6895
2019-01-17 13 A,1937.4175
2019-01-17 14 A,1824.1327
2019-01-17 15 A,1680.2751
2019-01-17 16 A,1604.1957
2019-01-17 17 A,1658.0574
2019-01-17 18 A,1893.8876
2019-01-17 19 A,2154.4014
2019-01-17 20 A,2236.2368
2019-01-17 21 A,2168.8647
2019-01-17 22 A,2073.2917
2019-01-17 23 A,1951.438
2019-01-17 24 A,1819.8174
2019-01-18 01 A,1635.0322
2019-01-18 02 A,1392.2802
2019-01-18 03 A,1281.4862
2019-01-18 04 A,1298.224
2019-01-18 05 A,1435.3915
2019-01-18 06 A,1590.7693
2019-01-18 07 A,1840.9026
2019-01-18 08 A,2218.1665
2019-01-18 09 A,2443.6711
2019-01-18 10 A,2353.5618
2019-01-18 11 A,2284.819
2019-01-18 12 A,2110.132
2019-01-18 13 A,1968.6517
2019-01-18 14 A,1858.1846
2019-01-18 15 A,1726.3461
2019-01-18 16 A,1671.7052
2019-01-18 17 A,1749.4811
2019-01-18 18 A,1977.4215
2019-01-18 19 A,2241.4622
2019-01-18 20 A,2347.8196
2019-01-18 21 A,2281.739
2019-01-18 22 A,2185.269
2019-01-18 23 A,2053.226
2019-01-18 24 A,1957.185
2019-01-19 01 A,1738.0159
2019-01-19 02 A,1504.5803
2019-01-19 03 A,1400.041
2019-01-19 04 A,1436.8236
2019-01-19 05 A,1589.129
2019-01-19 06 A,1760.996
2019-01-19 07 A,2044.2496
2019-01-19 08 A,2477.041
2019-01-19 09 A,2621.928
2019-01-19 10 A,2463.198
2019-01-19 11 A,2336.203
2019-01-19 12 A,2134.3113
2019-01-19 13 A,1981.6884
2019-01-19 14 A,1872.6335
2019-01-19 15 A,1725.9895
2019-01-19 16 A,1653.7806
2019-01-19 17 A,1713.4028
2019-01-19 18 A,1940.9443
2019-01-19 19 A,2197.2927
2019-01-19 20 A,2305.494
2019-01-19 21 A,2248.5837
2019-01-19 22 A,2158.6555
2019-01-19 23 A,2034.8905
2019-01-19 24 A,1927.512
2019-01-20 01 A,1704.7202
2019-01-20 02 A,1472.2357
2019-01-20 03 A,1358.6418
2019-01-20 04 A,1373.8589
2019-01-20 05 A,1481.356
2019-01-20 06 A,1583.5452
2019-01-20 07 A,1745.576
2019-01-20 08 A,2063.237
2019-01-20 09 A,2306.6714
2019-01-20 10 A,2265.7441
2019-01-20 11 A,2191.6711
2019-01-20 12 A,1977.3779
2019-01-20 13 A,1842.6293
2019-01-20 14 A,1728.2556
2019-01-20 15 A,1588.7773
2019-01-20 16 A,1516.4321
2019-01-20 17 A,1582.0061
2019-01-20 18 A,1816.0297
2019-01-20 19 A,2077.3523
2019-01-20 20 A,2176.0244
2019-01-20 21 A,2084.6619
2019-01-20 22 A,1993.2646
2019-01-20 23 A,1883.5789
2019-01-20 24 A,1784.1545
2019-01-21 01 A,1656.6069
2019-01-21 02 A,1414.4911
2019-01-21 03 A,1303.3837
2019-01-21 04 A,1318.9655
2019-01-21 05 A,1448.0659
2019-01-21 06 A,1563.1387
2019-01-21 07 A,1670.6942
2019-01-21 08 A,2025.667
2019-01-21 09 A,2262.37
2019-01-21 10 A,2239.694
2019-01-21 11 A,2166.8352
2019-01-21 12 A,1971.8457
2019-01-21 13 A,1839.5619
2019-01-21 14 A,1746.7723
2019-01-21 15 A,1615.8247
2019-01-21 16 A,1555.7151
2019-01-21 17 A,1635.7596
2019-01-21 18 A,1866.652
2019-01-21 19 A,2145.834
2019-01-21 20 A,2234.01
2019-01-21 21 A,2142.1272
2019-01-21 22 A,2008.8401
2019-01-21 23 A,1887.5865
2019-01-21 24 A,1786.6185
2019-01-22 01 A,1652.2479
2019-01-22 02 A,1430.2887
2019-01-22 03 A,1340.8389
2019-01-22 04 A,1376.9071
2019-01-22 05 A,1533.5001
2019-01-22 06 A,1723.6581
2019-01-22 07 A,2014.0535
2019-01-22 08 A,2446.9639
2019-01-22 09 A,2611.6982
2019-01-22 10 A,2530.5159
2019-01-22 11 A,2448.8591
2019-01-22 12 A,2276.1619
2019-01-22 13 A,2153.9556
2019-01-22 14 A,2064.3174
2019-01-22 15 A,1933.5975
2019-01-22 16 A,1892.9032
2019-01-22 17 A,1999.7552
2019-01-22 18 A,2241.869
2019-01-22 19 A,2526.205
